body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.002257,-0.000635,0.002513,0.106811,0.004087,0.004312,0.000903,-0.000229,-0.000024,-0.012804,-0.013244,0.004876,0.109189,-0.001985,0.005051,-0.013104,0.014741,-0.003188,-0.013944,0.006465,-0.001531,-0.002382,-0.005486,0.006590,-0.420363,0.559278,-0.117533,0.184549,0.036512,-0.031777,0.078128,0.267569,0.706527,-0.377628,-0.456444,0.071362,0.189638,-0.029680,0.035679,-0.124910,0.321939,-0.609403
0.005200,-0.001268,0.005049,0.084311,0.004398,0.006177,0.002168,-0.000550,-0.000057,-0.006590,-0.007495,0.004542,0.086870,-0.002228,0.007124,-0.007151,0.009574,-0.002082,-0.009269,0.000389,-0.000237,0.001279,-0.006975,0.010331,-0.330510,0.440641,-0.088946,0.133284,0.039365,-0.020955,0.034912,0.246548,0.637750,-0.289219,-0.359216,0.060593,0.143858,-0.031348,0.027877,-0.137674,0.289918,-0.551234
0.009863,-0.002051,0.008152,0.060963,0.003887,0.008013,0.004055,-0.001031,-0.000097,-0.000932,-0.002298,0.004372,0.064347,-0.001609,0.009089,-0.001104,0.004884,-0.001077,-0.005164,-0.002860,0.000482,0.008612,-0.007739,0.013883,-0.227130,0.311722,-0.057399,0.081716,0.044123,-0.009805,-0.006900,0.219576,0.550519,-0.190207,-0.251926,0.048187,0.099631,-0.030707,0.021643,-0.142252,0.250390,-0.475635
0.015805,-0.002801,0.010834,0.041129,0.002811,0.009077,0.005926,-0.001518,-0.000096,0.002763,0.001127,0.004151,0.045362,-0.000612,0.010192,0.003681,0.001563,-0.000338,-0.002360,-0.003229,0.000604,0.017889,-0.007991,0.016066,-0.130596,0.197697,-0.029436,0.041120,0.048411,-0.000829,-0.036082,0.188374,0.455265,-0.101534,-0.156483,0.036338,0.066534,-0.027403,0.018497,-0.133796,0.208665,-0.392181
0.022183,-0.003474,0.012426,0.026926,0.001832,0.009135,0.006819,-0.001790,0.000067,0.004388,0.002588,0.003841,0.031159,0.000241,0.010171,0.006301,-0.000200,0.000174,-0.000871,-0.002145,0.000413,0.026485,-0.008019,0.016219,-0.056452,0.114612,-0.009604,0.017742,0.049200,0.004793,-0.046472,0.154963,0.363168,-0.037588,-0.087223,0.026539,0.047900,-0.022246,0.017924,-0.113129,0.169774,-0.312068
0.028495,-0.004313,0.013331,0.018585,0.001530,0.009017,0.006340,-0.001795,0.000601,0.005329,0.002836,0.003880,0.021577,0.000917,0.009816,0.007038,-0.000810,0.000700,-0.000256,-0.001007,0.000197,0.033084,-0.007885,0.014761,-0.008373,0.064011,0.001609,0.011802,0.044779,0.007622,-0.038697,0.121562,0.282196,0.000392,-0.045640,0.019322,0.041047,-0.016759,0.018077,-0.085288,0.136448,-0.243231
0.034730,-0.005612,0.014565,0.015753,0.002005,0.010018,0.005137,-0.001751,0.001718,0.007385,0.002692,0.004817,0.016564,0.001600,0.010432,0.007412,-0.000905,0.001555,-0.000060,-0.000352,0.000069,0.038198,-0.007669,0.012713,0.019227,0.037684,0.006534,0.019582,0.035478,0.008610,-0.017951,0.090441,0.215832,0.020064,-0.024902,0.014614,0.041134,-0.012398,0.017333,-0.055804,0.108941,-0.188693
0.040533,-0.007262,0.016468,0.017416,0.002820,0.012450,0.004249,-0.001901,0.003373,0.011233,0.002382,0.006546,0.015766,0.002137,0.012417,0.009120,-0.001038,0.002871,-0.000011,-0.000094,0.000019,0.042623,-0.007664,0.010537,0.033963,0.025144,0.007570,0.035081,0.022990,0.007652,0.008672,0.063421,0.163730,0.029463,-0.016727,0.011749,0.043697,-0.009888,0.014879,-0.028940,0.085870,-0.148125
0.044463,-0.008627,0.018090,0.021279,0.003355,0.015022,0.004123,-0.002187,0.005042,0.015736,0.001805,0.008118,0.017590,0.002064,0.014605,0.012648,-0.001466,0.004347,-0.000001,-0.000019,0.000004,0.045938,-0.008102,0.007718,0.040713,0.018345,0.005789,0.051127,0.009507,0.004002,0.033846,0.041470,0.123431,0.032549,-0.014823,0.009460,0.044954,-0.009133,0.010370,-0.008115,0.065240,-0.119989
0.044896,-0.009001,0.018030,0.024641,0.003293,0.015925,0.004559,-0.002276,0.005963,0.018825,0.001062,0.008516,0.019864,0.001231,0.015306,0.016944,-0.002067,0.005352,0.000000,-0.000003,0.000001,0.046909,-0.008743,0.003631,0.041737,0.013111,0.001664,0.061757,-0.002719,-0.001944,0.051833,0.024688,0.092246,0.030655,-0.015198,0.006517,0.042270,-0.009609,0.003723,0.004229,0.045801,-0.102210
0.042006,-0.008237,0.015799,0.026162,0.002770,0.014429,0.005454,-0.001954,0.005836,0.019220,0.000333,0.007602,0.021357,0.000135,0.013844,0.020364,-0.002421,0.005400,0.000000,0.000000,0.000000,0.045135,-0.008932,-0.001362,0.039111,0.008364,-0.003634,0.064886,-0.011787,-0.007913,0.060427,0.012533,0.068345,0.025568,-0.015504,0.002622,0.035371,-0.010671,-0.004580,0.007904,0.028312,-0.091703
0.038321,-0.006801,0.012231,0.026259,0.002029,0.011285,0.007193,-0.001428,0.005120,0.017228,-0.000511,0.006116,0.022182,-0.000556,0.010926,0.021906,-0.002186,0.004539,0.000002,-0.000000,0.000000,0.041674,-0.008176,-0.005845,0.035628,0.004195,-0.008127,0.062321,-0.016889,-0.011128,0.061013,0.003988,0.050944,0.019984,-0.014525,-0.001394,0.026246,-0.011698,-0.013222,0.005192,0.015077,-0.084419
0.036970,-0.005262,0.008761,0.025737,0.001088,0.007867,0.010204,-0.001166,0.004439,0.013975,-0.001589,0.004784,0.022958,-0.000771,0.007886,0.021721,-0.001566,0.003230,0.000015,-0.000001,0.000003,0.038005,-0.006727,-0.008309,0.033409,0.000262,-0.010117,0.057046,-0.018833,-0.010255,0.056430,-0.002356,0.039933,0.015605,-0.012084,-0.004275,0.017203,-0.012458,-0.020329,-0.000895,0.007639,-0.076762
0.039501,-0.003872,0.006494,0.024576,-0.000138,0.005203,0.014436,-0.001469,0.003884,0.010363,-0.002499,0.003719,0.024006,-0.001104,0.005821,0.020711,-0.001270,0.001975,0.000073,-0.000006,0.000016,0.034950,-0.005515,-0.008107,0.032632,-0.004278,-0.009197,0.050799,-0.019418,-0.006129,0.048980,-0.007816,0.034846,0.012214,-0.009048,-0.005175,0.009304,-0.013369,-0.024241,-0.008225,0.005098,-0.067153
0.045025,-0.002606,0.005720,0.022170,-0.001512,0.003575,0.019422,-0.002209,0.003101,0.006884,-0.002664,0.002694,0.025215,-0.002069,0.005128,0.019800,-0.001825,0.001124,0.000284,-0.000027,0.000066,0.032703,-0.005398,-0.005732,0.032003,-0.009706,-0.006364,0.043767,-0.019869,-0.001072,0.040092,-0.012711,0.033784,0.008958,-0.006975,-0.004026,0.002725,-0.015060,-0.024255,-0.015373,0.004780,-0.055978
0.050967,-0.001350,0.005924,0.018378,-0.002699,0.002672,0.024674,-0.002998,0.001877,0.003920,-0.002057,0.001635,0.026363,-0.003578,0.005440,0.019697,-0.003116,0.000890,0.000852,-0.000098,0.000216,0.031430,-0.006552,-0.002360,0.030095,-0.015125,-0.003289,0.035553,-0.019944,0.002452,0.030880,-0.016036,0.033716,0.005786,-0.007431,-0.001257,-0.002041,-0.017685,-0.020482,-0.020579,0.004039,-0.043788
0.054873,-0.000012,0.006240,0.014049,-0.003554,0.002063,0.029855,-0.003629,0.000393,0.001730,-0.001200,0.000620,0.027421,-0.005189,0.005985,0.021013,-0.004674,0.001339,0.001951,-0.000293,0.000567,0.031514,-0.008633,0.000990,0.026252,-0.019124,-0.001261,0.026087,-0.018672,0.003173,0.022318,-0.016469,0.032321,0.003246,-0.011128,0.002745,-0.004004,-0.020809,-0.012998,-0.021918,0.001469,-0.029993
