body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
0.001171,-0.024145,-0.002811,0.001396,-0.020099,-0.002390,0.000368,0.015232,-0.000426,0.005161,0.009825,-0.001151,0.001404,-0.020723,-0.002747,0.001865,0.015585,0.000187,-0.004767,0.009215,-0.000802,0.000978,-0.024233,-0.002804,-0.000260,-0.029636,-0.002207,-0.109315,-0.114971,-0.028688,-0.120168,-0.080927,-0.037129,0.000066,-0.030148,-0.003855,0.089800,-0.106188,-0.021612,0.097024,-0.067546,-0.028180
0.000947,-0.022322,-0.002214,0.001301,-0.018367,-0.001729,0.000174,0.011047,-0.000072,0.003709,0.007410,-0.000577,0.001315,-0.019531,-0.002313,0.002028,0.010836,0.000173,-0.003016,0.006845,-0.000499,0.000667,-0.022531,-0.002194,-0.000846,-0.026823,-0.001385,-0.091223,-0.097618,-0.023086,-0.101747,-0.071561,-0.029773,-0.000564,-0.028348,-0.003505,0.073883,-0.090549,-0.018082,0.081267,-0.059388,-0.023441
0.000599,-0.020383,-0.001614,0.001056,-0.016383,-0.001099,0.000052,0.006336,0.000200,0.002350,0.005052,-0.000027,0.001076,-0.018171,-0.001869,0.001839,0.005573,0.000099,-0.001636,0.004581,-0.000195,0.000250,-0.020800,-0.001570,-0.001371,-0.024561,-0.000761,-0.069350,-0.077004,-0.016905,-0.079817,-0.059897,-0.021668,-0.001151,-0.027177,-0.003156,0.054672,-0.072164,-0.013949,0.061929,-0.049207,-0.017968
0.000207,-0.018818,-0.001154,0.000725,-0.014583,-0.000648,0.000042,0.002027,0.000313,0.001395,0.003123,0.000359,0.000751,-0.016932,-0.001532,0.001385,0.000782,-0.000050,-0.000808,0.002773,0.000018,-0.000181,-0.019529,-0.001075,-0.001774,-0.023576,-0.000474,-0.047746,-0.057078,-0.011336,-0.058329,-0.047929,-0.014410,-0.001619,-0.027082,-0.002940,0.035763,-0.054715,-0.010072,0.042484,-0.038890,-0.012905
-0.000114,-0.017921,-0.000855,0.000438,-0.013283,-0.000375,0.000103,-0.001250,0.000328,0.000876,0.001551,0.000567,0.000468,-0.016021,-0.001331,0.000914,-0.002940,-0.000229,-0.000389,0.001310,0.000110,-0.000518,-0.018981,-0.000735,-0.002046,-0.023942,-0.000436,-0.030148,-0.041321,-0.007155,-0.040635,-0.037562,-0.009070,-0.001946,-0.027888,-0.002859,0.020485,-0.041264,-0.007091,0.026283,-0.030299,-0.009087
-0.000334,-0.017636,-0.000610,0.000273,-0.012461,-0.000125,0.000113,-0.003287,0.000419,0.000548,0.000154,0.000735,0.000306,-0.015453,-0.001196,0.000575,-0.005494,-0.000355,-0.000220,-0.000012,0.000135,-0.000747,-0.019065,-0.000446,-0.002232,-0.025192,-0.000442,-0.018208,-0.031075,-0.004456,-0.027962,-0.029555,-0.005814,-0.002167,-0.029078,-0.002777,0.010228,-0.032789,-0.005104,0.014895,-0.024289,-0.006640
-0.000534,-0.017681,-0.000313,0.000197,-0.011812,0.000252,-0.000037,-0.004050,0.000724,0.000149,-0.000877,0.001023,0.000237,-0.015095,-0.001059,0.000329,-0.006962,-0.000375,-0.000279,-0.001012,0.000171,-0.000967,-0.019483,-0.000105,-0.002429,-0.026806,-0.000357,-0.011439,-0.025603,-0.002885,-0.019631,-0.023521,-0.004187,-0.002383,-0.030299,-0.002584,0.004383,-0.028448,-0.003867,0.007965,-0.020642,-0.005229
-0.000783,-0.017794,0.000032,0.000147,-0.011081,0.000753,-0.000312,-0.003655,0.001220,-0.000330,-0.001124,0.001458,0.000197,-0.014807,-0.000929,0.000128,-0.007459,-0.000317,-0.000483,-0.001272,0.000254,-0.001256,-0.019950,0.000281,-0.002742,-0.028486,-0.000180,-0.008264,-0.023334,-0.002008,-0.014214,-0.018826,-0.003572,-0.002700,-0.031444,-0.002338,0.001456,-0.026764,-0.003146,0.004199,-0.018708,-0.004498
-0.001039,-0.017893,0.000331,0.000101,-0.010387,0.001227,-0.000553,-0.002650,0.001725,-0.000681,-0.000601,0.001912,0.000160,-0.014596,-0.000842,0.000039,-0.007307,-0.000233,-0.000563,-0.000748,0.000377,-0.001562,-0.020331,0.000611,-0.003180,-0.030067,0.000018,-0.007023,-0.022938,-0.001483,-0.010436,-0.015376,-0.003407,-0.003132,-0.032350,-0.002182,0.000120,-0.026466,-0.002828,0.002341,-0.018001,-0.004212
-0.001223,-0.018098,0.000494,0.000037,-0.010209,0.001499,-0.000664,-0.002016,0.002031,-0.000777,-0.000016,0.002206,0.000102,-0.014638,-0.000793,0.000104,-0.007099,-0.000151,-0.000321,-0.000020,0.000524,-0.001773,-0.020660,0.000787,-0.003644,-0.031384,0.000171,-0.006502,-0.023621,-0.001104,-0.007525,-0.013564,-0.003285,-0.003583,-0.032716,-0.002175,-0.000447,-0.026700,-0.002797,0.001524,-0.018311,-0.004153
