body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
-0.000283,0.014443,0.792431,0.117637,0.012240,0.660708,0.105841,0.028308,0.355184,0.092876,0.058808,0.039453,-0.115251,0.010779,0.658224,-0.094793,0.034568,0.353630,-0.075192,0.063170,0.038143,-0.001148,0.021020,0.846167,0.132619,-0.015008,1.082440,0.185005,-0.023412,0.906079,0.205880,-0.062259,0.727080,-0.148345,-0.011602,1.074766,-0.185543,-0.010330,0.894380,-0.194841,-0.040166,0.712697
-0.000257,0.013907,0.792357,0.117662,0.011791,0.660639,0.105857,0.028728,0.355161,0.093030,0.059084,0.039411,-0.115225,0.010333,0.658157,-0.094777,0.035015,0.353633,-0.075364,0.063434,0.038118,-0.001122,0.020485,0.846093,0.132639,-0.015709,1.082361,0.182360,-0.026164,0.905340,0.202995,-0.064107,0.726122,-0.148317,-0.012281,1.074681,-0.183341,-0.012861,0.893858,-0.192508,-0.041709,0.712009
-0.000228,0.013462,0.792316,0.117718,0.011432,0.660625,0.105818,0.028993,0.355187,0.093000,0.059209,0.039421,-0.115168,0.009926,0.658097,-0.094603,0.035214,0.353631,-0.075185,0.063530,0.038105,-0.001114,0.020039,0.846051,0.132511,-0.016043,1.082427,0.180373,-0.028148,0.905000,0.200909,-0.065640,0.725678,-0.148436,-0.012718,1.074567,-0.181772,-0.014789,0.893436,-0.190727,-0.043099,0.711492
-0.000192,0.013197,0.792341,0.117754,0.011167,0.660650,0.105854,0.028728,0.355212,0.093036,0.058944,0.039446,-0.115133,0.009661,0.658122,-0.094567,0.034949,0.353656,-0.075150,0.063265,0.038130,-0.001078,0.019774,0.846076,0.132545,-0.016348,1.082451,0.179845,-0.028957,0.904909,0.200179,-0.066514,0.725579,-0.148400,-0.013006,1.074591,-0.181346,-0.015368,0.893392,-0.190149,-0.043627,0.711433
-0.000224,0.012867,0.792330,0.117743,0.010957,0.660658,0.105815,0.028781,0.355236,0.092972,0.059165,0.039488,-0.115142,0.009327,0.658095,-0.094636,0.034976,0.353654,-0.075322,0.063488,0.038141,-0.001119,0.019429,0.846067,0.132539,-0.016755,1.082415,0.179478,-0.029490,0.904786,0.199557,-0.067067,0.725433,-0.148408,-0.013594,1.074568,-0.181157,-0.015977,0.893333,-0.189838,-0.044138,0.711353
-0.000290,0.012505,0.792300,0.117686,0.010752,0.660634,0.105811,0.028820,0.355225,0.093021,0.059405,0.039494,-0.115199,0.009043,0.658055,-0.094641,0.034954,0.353639,-0.075285,0.063722,0.038155,-0.001200,0.019018,0.846043,0.132364,-0.017401,1.082410,0.179125,-0.030026,0.904726,0.198909,-0.067647,0.725351,-0.148580,-0.014394,1.074429,-0.181150,-0.016642,0.893160,-0.189656,-0.044587,0.711139
-0.000235,0.012171,0.792263,0.117741,0.010419,0.660597,0.105866,0.028487,0.355188,0.093076,0.059072,0.039457,-0.115144,0.008710,0.658018,-0.094586,0.034620,0.353602,-0.075230,0.063389,0.038117,-0.001145,0.018685,0.846006,0.132419,-0.017735,1.082373,0.179180,-0.030359,0.904689,0.198792,-0.068152,0.725331,-0.148525,-0.014727,1.074392,-0.181095,-0.016976,0.893123,-0.189595,-0.044917,0.711101
-0.000217,0.011814,0.792254,0.117777,0.010277,0.660600,0.105897,0.028568,0.355204,0.093112,0.059265,0.039485,-0.115106,0.008479,0.657986,-0.094535,0.034607,0.353590,-0.075180,0.063570,0.038124,-0.001140,0.018249,0.846006,0.132363,-0.018485,1.082359,0.178985,-0.030874,0.904622,0.198345,-0.068581,0.725219,-0.148580,-0.015564,1.074295,-0.181070,-0.017619,0.893010,-0.189505,-0.045294,0.710944
-0.000274,0.011406,0.792301,0.117721,0.009870,0.660647,0.105840,0.028160,0.355251,0.093055,0.058857,0.039532,-0.115163,0.008071,0.658033,-0.094592,0.034199,0.353636,-0.075237,0.063163,0.038170,-0.001197,0.017842,0.846052,0.132306,-0.018893,1.082406,0.178928,-0.031282,0.904669,0.198284,-0.068986,0.725265,-0.148637,-0.015972,1.074342,-0.181127,-0.018027,0.893057,-0.189558,-0.045699,0.710990
-0.000315,0.011067,0.792308,0.117728,0.009779,0.660693,0.105764,0.028239,0.355311,0.092915,0.058883,0.039588,-0.115153,0.007818,0.657992,-0.094651,0.034123,0.353606,-0.075381,0.063257,0.038152,-0.001255,0.017424,0.846069,0.132252,-0.019543,1.082383,0.178714,-0.031647,0.904585,0.197970,-0.069052,0.725108,-0.148691,-0.016752,1.074306,-0.181111,-0.018528,0.893005,-0.189456,-0.045899,0.710889
-0.000348,0.010762,0.792296,0.117753,0.009820,0.660727,0.105804,0.028676,0.355369,0.093000,0.059424,0.039653,-0.115125,0.007661,0.657921,-0.094599,0.034277,0.353563,-0.075327,0.063657,0.038133,-0.001312,0.017008,0.846069,0.132106,-0.020429,1.082360,0.178542,-0.032204,0.904533,0.197907,-0.069086,0.724960,-0.148834,-0.017678,1.074175,-0.181160,-0.019248,0.892856,-0.189507,-0.046270,0.710687
