body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.710182,-0.013221,-0.021084,-0.703578,0.708511,-0.046104,-0.039211,-0.703100,0.754258,0.025061,0.049182,-0.654254,0.755893,-0.005035,0.001744,-0.654673,0.709750,-0.022784,-0.044364,-0.702686,-0.646722,-0.055797,-0.017098,0.760490,-0.646151,0.009277,0.020470,0.762879,-0.702818,-0.054258,-0.034464,0.708460,-0.684101,-0.118968,0.099681,0.712682,-0.370884,-0.627611,-0.187678,0.658275,-0.436335,-0.599157,-0.264418,0.617013,0.707421,-0.050222,0.105335,-0.697092,0.663563,0.240915,0.601828,-0.373426,0.613067,0.220960,0.621949,-0.434172
0.710182,-0.013221,-0.021084,-0.703578,0.708587,-0.045105,-0.038202,-0.703143,0.754313,0.025035,0.048867,-0.654215,0.755931,-0.005059,0.001427,-0.654630,0.709795,-0.021752,-0.043324,-0.702738,-0.646683,-0.055382,-0.017074,0.760554,-0.646104,0.009695,0.020491,0.762913,-0.702818,-0.054258,-0.034464,0.708460,-0.684316,-0.109841,0.098685,0.714079,-0.368792,-0.628452,-0.189288,0.658188,-0.439535,-0.595868,-0.271376,0.614903,0.708372,-0.049698,0.097583,-0.697293,0.663235,0.242484,0.602813,-0.371399,0.608037,0.223029,0.622257,-0.439712
0.710248,-0.013142,-0.021153,-0.703511,0.708693,-0.044498,-0.037366,-0.703120,0.754342,0.024866,0.048696,-0.654201,0.755947,-0.005094,0.001592,-0.654611,0.709889,-0.020903,-0.042780,-0.702702,-0.646753,-0.055270,-0.016931,0.760505,-0.646179,0.009259,0.020853,0.762845,-0.702996,-0.054202,-0.033990,0.708310,-0.684548,-0.103053,0.098444,0.714901,-0.367762,-0.628963,-0.190104,0.658040,-0.442950,-0.592498,-0.277069,0.613167,0.709211,-0.049354,0.091485,-0.697291,0.663313,0.243473,0.603015,-0.370283,0.603605,0.224600,0.622113,-0.445187
0.710248,-0.013142,-0.021153,-0.703511,0.708693,-0.044498,-0.037366,-0.703120,0.754342,0.024866,0.048696,-0.654201,0.755947,-0.005094,0.001592,-0.654611,0.709889,-0.020903,-0.042780,-0.702702,-0.646753,-0.055270,-0.016931,0.760505,-0.646179,0.009259,0.020853,0.762845,-0.702996,-0.054202,-0.033990,0.708310,-0.684537,-0.101005,0.098357,0.715215,-0.367686,-0.628675,-0.190190,0.658333,-0.446225,-0.589271,-0.280570,0.612310,0.709366,-0.049171,0.090174,-0.697317,0.663514,0.243692,0.602804,-0.370123,0.600462,0.225088,0.621467,-0.450067
0.710450,-0.012991,-0.021122,-0.703311,0.708908,-0.044220,-0.037026,-0.702939,0.754438,0.025048,0.048896,-0.654068,0.756052,-0.005020,0.001874,-0.654490,0.710099,-0.020576,-0.042275,-0.702530,-0.646730,-0.055359,-0.017284,0.760511,-0.646170,0.009452,0.020627,0.762856,-0.703231,-0.054379,-0.034229,0.708052,-0.684774,-0.100020,0.097925,0.715186,-0.367680,-0.628226,-0.190584,0.658651,-0.448688,-0.586476,-0.283574,0.611809,0.709688,-0.048789,0.089776,-0.697067,0.663625,0.244002,0.602680,-0.369922,0.597959,0.225572,0.621036,-0.453737
0.710581,-0.012646,-0.020831,-0.703193,0.709051,-0.043895,-0.036788,-0.702828,0.754428,0.025347,0.049046,-0.654057,0.756049,-0.004834,0.001974,-0.654494,0.710233,-0.020228,-0.042021,-0.702420,-0.646717,-0.055691,-0.017565,0.760492,-0.646164,0.009431,0.020654,0.762861,-0.703417,-0.054993,-0.034528,0.707805,-0.684927,-0.099848,0.097360,0.715141,-0.367666,-0.627693,-0.190971,0.659054,-0.451046,-0.584005,-0.285844,0.611383,0.709992,-0.048184,0.089714,-0.696808,0.663889,0.244242,0.602773,-0.369136,0.596030,0.225917,0.620909,-0.456270
0.710581,-0.012646,-0.020831,-0.703193,0.709051,-0.043895,-0.036788,-0.702828,0.754428,0.025347,0.049046,-0.654057,0.756049,-0.004834,0.001974,-0.654494,0.710233,-0.020228,-0.042021,-0.702420,-0.646717,-0.055691,-0.017565,0.760492,-0.646164,0.009431,0.020654,0.762861,-0.703417,-0.054993,-0.034528,0.707805,-0.684927,-0.099848,0.097360,0.715141,-0.367792,-0.627260,-0.190730,0.659467,-0.452364,-0.582546,-0.287107,0.611209,0.709992,-0.048184,0.089714,-0.696808,0.663889,0.244242,0.602773,-0.369136,0.594481,0.226078,0.620685,-0.458509
0.710727,-0.012078,-0.020371,-0.703070,0.709196,-0.043635,-0.036527,-0.702711,0.754510,0.025498,0.049161,-0.653948,0.756138,-0.004805,0.001954,-0.654391,0.710370,-0.019979,-0.041771,-0.702304,-0.646694,-0.055897,-0.017808,0.760490,-0.646156,0.009289,0.020592,0.762871,-0.703504,-0.055628,-0.034963,0.707648,-0.684999,-0.100004,0.096611,0.715152,-0.367621,-0.626861,-0.191293,0.659778,-0.453471,-0.581238,-0.288632,0.610916,0.710190,-0.047663,0.089953,-0.696611,0.663913,0.244539,0.603075,-0.368403,0.593193,0.226465,0.620840,-0.459776
0.710727,-0.012078,-0.020371,-0.703070,0.709196,-0.043635,-0.036527,-0.702711,0.754510,0.025498,0.049161,-0.653948,0.756138,-0.004805,0.001954,-0.654391,0.710370,-0.019979,-0.041771,-0.702304,-0.646694,-0.055897,-0.017808,0.760490,-0.646156,0.009289,0.020592,0.762871,-0.703504,-0.055628,-0.034963,0.707648,-0.684999,-0.100004,0.096611,0.715152,-0.367621,-0.626861,-0.191293,0.659778,-0.454177,-0.580657,-0.289448,0.610558,0.710190,-0.047663,0.089953,-0.696611,0.663913,0.244539,0.603075,-0.368403,0.592174,0.226590,0.620688,-0.461231
0.710981,-0.011430,-0.019994,-0.702834,0.709433,-0.043525,-0.036232,-0.702494,0.754639,0.025367,0.049168,-0.653803,0.756265,-0.004874,0.002247,-0.654243,0.710607,-0.019868,-0.041482,-0.702084,-0.646754,-0.055985,-0.018107,0.760426,-0.646227,0.009393,0.020617,0.762809,-0.703649,-0.056091,-0.035408,0.707445,-0.685175,-0.100190,0.095721,0.715077,-0.367390,-0.626823,-0.192299,0.659650,-0.454629,-0.580167,-0.290815,0.610038,0.710386,-0.046983,0.090368,-0.696403,0.663947,0.244969,0.603309,-0.367671,0.591392,0.227104,0.621000,-0.461560
