joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.102779,0.128329,-0.020106,-0.021236,0.019207,0.015591,0.137090,-0.175870,0.174060,0.050515,0.020890,-0.097011,-0.048115,-0.111185,-0.147964,0.284599,-0.249224,0.016656,-0.026958,-0.669470,0.628845,1.202646,1.214262,-0.220627,0.059114,0.045333,0.038914,0.014855,-0.153439
0.105622,0.131262,-0.020106,-0.021236,0.019207,0.015591,0.137090,-0.175870,0.174060,0.047187,0.017334,-0.108949,-0.058538,-0.111185,-0.147964,0.270362,-0.237538,0.016656,-0.026958,-0.672013,0.630663,1.224042,1.233413,-0.238346,0.072388,0.043827,0.038914,0.014855,-0.166237
0.107659,0.133217,-0.019882,-0.021767,0.019435,0.016022,0.136936,-0.175838,0.173294,0.044636,0.014963,-0.117867,-0.066030,-0.110501,-0.147409,0.259874,-0.229044,0.016416,-0.025928,-0.673708,0.631092,1.239459,1.246939,-0.253960,0.084116,0.042383,0.039627,0.014185,-0.177732
0.107659,0.133217,-0.019882,-0.021767,0.019435,0.016022,0.136936,-0.175838,0.173294,0.044636,0.014963,-0.120744,-0.067662,-0.110501,-0.147409,0.256885,-0.226936,0.016416,-0.025928,-0.673708,0.631092,1.242916,1.249216,-0.265363,0.092752,0.041062,0.039627,0.014185,-0.186623
0.108282,0.134134,-0.019747,-0.022040,0.019004,0.015828,0.136695,-0.176368,0.173616,0.044304,0.014425,-0.122260,-0.068206,-0.110522,-0.148004,0.254950,-0.225774,0.016126,-0.026095,-0.673804,0.630309,1.244069,1.249975,-0.274028,0.099377,0.039828,0.039618,0.013980,-0.193534
0.108184,0.134082,-0.019534,-0.022005,0.019053,0.016261,0.136309,-0.176708,0.174010,0.044153,0.014426,-0.123115,-0.068663,-0.110745,-0.148878,0.253456,-0.225315,0.016022,-0.026028,-0.673635,0.630667,1.243371,1.250341,-0.281325,0.104998,0.038499,0.039603,0.014715,-0.199455
0.108184,0.134082,-0.019534,-0.022005,0.019053,0.016261,0.136309,-0.176708,0.174010,0.044153,0.014426,-0.123115,-0.068663,-0.110745,-0.148878,0.253456,-0.225315,0.016022,-0.026028,-0.673635,0.630667,1.242056,1.250341,-0.285825,0.108958,0.038499,0.039603,0.014715,-0.203394
0.107474,0.133335,-0.019589,-0.022175,0.018888,0.016434,0.136196,-0.177089,0.174070,0.043796,0.014349,-0.123413,-0.069059,-0.111113,-0.149211,0.252337,-0.225233,0.016000,-0.025834,-0.673303,0.631061,1.241180,1.250707,-0.289676,0.112469,0.037963,0.039555,0.015361,-0.206868
0.107474,0.133335,-0.019589,-0.022175,0.018888,0.016434,0.136196,-0.177089,0.174070,0.043796,0.014349,-0.123413,-0.069059,-0.111113,-0.149211,0.252337,-0.225233,0.016000,-0.025834,-0.673303,0.631061,1.241180,1.250707,-0.292228,0.115083,0.037963,0.039555,0.015361,-0.209411
0.106607,0.132447,-0.019773,-0.022848,0.018234,0.016128,0.135953,-0.177527,0.173896,0.043035,0.014346,-0.123250,-0.068731,-0.110602,-0.149921,0.251297,-0.224911,0.015697,-0.025599,-0.672869,0.631246,1.241566,1.250672,-0.294114,0.117041,0.037575,0.039857,0.015780,-0.211364
0.105869,0.131374,-0.020432,-0.023265,0.017839,0.016076,0.135653,-0.177924,0.173896,0.042009,0.014131,-0.123577,-0.069617,-0.109655,-0.150354,0.250820,-0.224816,0.016171,-0.025472,-0.673867,0.631091,1.242849,1.251483,-0.295666,0.118671,0.037533,0.040323,0.015395,-0.213766
0.105869,0.131374,-0.020432,-0.023265,0.017839,0.016076,0.135653,-0.177924,0.173896,0.042009,0.014131,-0.123577,-0.069617,-0.109655,-0.150354,0.250820,-0.224816,0.016171,-0.025472,-0.673867,0.631091,1.242849,1.251483,-0.297319,0.120324,0.037533,0.040323,0.015395,-0.213766
0.105528,0.131049,-0.021458,-0.023592,0.017845,0.016363,0.135272,-0.178252,0.174201,0.041520,0.014471,-0.124203,-0.070804,-0.109235,-0.151278,0.250233,-0.224285,0.015803,-0.025781,-0.674544,0.630838,1.244650,1.252065,-0.299277,0.121881,0.037710,0.040343,0.014909,-0.214908
0.105528,0.131049,-0.021458,-0.023592,0.017845,0.016363,0.135272,-0.178252,0.174201,0.041520,0.014471,-0.124203,-0.070804,-0.109235,-0.151278,0.250233,-0.224285,0.015803,-0.025781,-0.674544,0.630838,1.244650,1.252065,-0.299277,0.123245,0.037710,0.040343,0.014909,-0.214908
0.105472,0.130959,-0.022138,-0.023869,0.017406,0.016085,0.135512,-0.178177,0.174474,0.041011,0.014151,-0.124224,-0.071480,-0.109438,-0.151992,0.250148,-0.224007,0.016245,-0.025591,-0.674449,0.629567,1.245549,1.251772,-0.300607,0.123700,0.037711,0.040189,0.014761,-0.215932
0.105472,0.130959,-0.022138,-0.023869,0.017406,0.016085,0.135512,-0.178177,0.174474,0.041011,0.014151,-0.124224,-0.071480,-0.109438,-0.151992,0.250148,-0.224007,0.016245,-0.025591,-0.674449,0.629567,1.245549,1.251772,-0.300607,0.123700,0.037711,0.040189,0.014761,-0.215932
0.104482,0.130120,-0.022277,-0.023625,0.017684,0.016323,0.135538,-0.178389,0.173712,0.040884,0.014190,-0.123907,-0.071988,-0.110080,-0.153098,0.250592,-0.223715,0.015697,-0.025223,-0.674008,0.628671,1.245941,1.251321,-0.301612,0.124007,0.037594,0.040216,0.015166,-0.217133
0.103000,0.129068,-0.022327,-0.023561,0.017689,0.016607,0.135125,-0.178768,0.172913,0.041730,0.013905,-0.124241,-0.073045,-0.111055,-0.154142,0.251022,-0.223690,0.015663,-0.024825,-0.673954,0.627366,1.245728,1.250772,-0.302574,0.124270,0.037466,0.040131,0.015512,-0.218281
0.103000,0.129068,-0.022327,-0.023561,0.017689,0.016607,0.135125,-0.178768,0.172913,0.041730,0.013905,-0.124241,-0.073045,-0.111055,-0.154142,0.251022,-0.223690,0.015663,-0.024825,-0.673954,0.627366,1.245728,1.250772,-0.302574,0.124270,0.037466,0.040131,0.015512,-0.218281
0.101646,0.128026,-0.022624,-0.023453,0.018044,0.017064,0.134809,-0.178915,0.172176,0.042493,0.014057,-0.124873,-0.074293,-0.112468,-0.155017,0.251390,-0.223159,0.015167,-0.025527,-0.673891,0.626635,1.245644,1.250692,-0.303374,0.124431,0.037467,0.040063,0.015514,-0.219204
0.100634,0.127537,-0.022098,-0.022707,0.018548,0.017965,0.134761,-0.178799,0.171802,0.043331,0.014388,-0.125379,-0.074879,-0.114130,-0.155881,0.251621,-0.222598,0.014516,-0.025665,-0.674474,0.627649,1.244786,1.251007,-0.304537,0.124316,0.037612,0.040155,0.015379,-0.219554
0.100634,0.127537,-0.022098,-0.022707,0.018548,0.017965,0.134761,-0.178799,0.171802,0.043331,0.014388,-0.126641,-0.076138,-0.114130,-0.155881,0.251621,-0.222598,0.014516,-0.025665,-0.674474,0.627649,1.244786,1.251007,-0.304537,0.124316,0.037612,0.040155,0.015379,-0.219554
0.099724,0.126719,-0.021686,-0.022432,0.018869,0.018876,0.134067,-0.178582,0.172296,0.044186,0.014479,-0.128388,-0.077919,-0.115954,-0.157206,0.251268,-0.222962,0.014158,-0.025348,-0.675093,0.629037,1.243969,1.251370,-0.305751,0.124886,0.037590,0.040214,0.014754,-0.219898
0.099724,0.126719,-0.021686,-0.022432,0.018869,0.018876,0.134067,-0.178582,0.172296,0.044186,0.014479,-0.128388,-0.077919,-0.115954,-0.157206,0.251268,-0.222962,0.014158,-0.025348,-0.675093,0.629037,1.243969,1.251370,-0.307012,0.124886,0.037590,0.040214,0.014754,-0.219898
0.099042,0.126477,-0.020939,-0.022138,0.019197,0.019266,0.133384,-0.178659,0.172610,0.045142,0.014462,-0.129665,-0.079127,-0.117873,-0.158593,0.250493,-0.221913,0.013872,-0.025736,-0.674088,0.629531,1.243016,1.251983,-0.307432,0.125494,0.036940,0.040207,0.015269,-0.220098
0.098239,0.126053,-0.020177,-0.021830,0.019512,0.019548,0.133154,-0.178900,0.172803,0.045974,0.014732,-0.130038,-0.079798,-0.119411,-0.159196,0.249627,-0.221273,0.013371,-0.025951,-0.673013,0.629145,1.241685,1.251625,-0.307726,0.126238,0.036682,0.040164,0.015643,-0.220117
0.098239,0.126053,-0.020177,-0.021830,0.019512,0.019548,0.133154,-0.178900,0.172803,0.045974,0.014732,-0.130038,-0.079798,-0.120773,-0.160679,0.249627,-0.221273,0.013371,-0.025951,-0.673013,0.629145,1.241685,1.251625,-0.307726,0.126238,0.036682,0.040164,0.015643,-0.220117
0.097301,0.125198,-0.020208,-0.021794,0.019547,0.019909,0.133185,-0.178724,0.173199,0.046292,0.014438,-0.130356,-0.080202,-0.122152,-0.162130,0.249215,-0.220916,0.013033,-0.025762,-0.672652,0.628623,1.240965,1.249940,-0.306645,0.126566,0.036643,0.039656,0.016197,-0.220140
0.097301,0.125198,-0.020208,-0.021794,0.019547,0.019909,0.133185,-0.178724,0.173199,0.046292,0.014438,-0.130356,-0.080202,-0.123565,-0.162130,0.249215,-0.220916,0.013033,-0.025762,-0.672652,0.628623,1.240965,1.249940,-0.306645,0.126566,0.036643,0.039656,0.016197,-0.220140
0.096510,0.124235,-0.021436,-0.021176,0.020193,0.019687,0.133745,-0.178585,0.173450,0.045860,0.014318,-0.130300,-0.080129,-0.124786,-0.163384,0.248252,-0.220647,0.012689,-0.025644,-0.672883,0.628375,1.241125,1.249042,-0.305714,0.126130,0.036975,0.039261,0.016227,-0.220225
0.096510,0.124235,-0.021436,-0.021176,0.020193,0.019687,0.133745,-0.178585,0.173450,0.045860,0.014318,-0.130300,-0.080129,-0.124786,-0.163384,0.248252,-0.220647,0.012689,-0.025644,-0.672883,0.628375,1.241125,1.249042,-0.305714,0.126130,0.036975,0.039261,0.016227,-0.220225
0.096943,0.123628,-0.022847,-0.021361,0.020047,0.018871,0.134766,-0.178750,0.173345,0.042821,0.013960,-0.129801,-0.080451,-0.126172,-0.165004,0.247950,-0.219767,0.012242,-0.025128,-0.673543,0.628724,1.241662,1.249477,-0.305067,0.125797,0.037612,0.039099,0.015288,-0.220192
