joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.142177,0.146651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.166409,-0.177814,-0.596893,-0.521122,0.000000,0.000000,-0.711860,0.584322,0.000000,0.000000,-0.127152,0.090915,1.069808,0.957537,-0.885961,0.663729,-0.075283,0.000000,0.000000,-0.639872
0.101837,0.097769,0.011177,-0.026514,0.011398,0.021550,-0.007655,0.001621,-0.038291,-0.127563,-0.118542,-0.445888,-0.374614,0.034211,0.027759,-0.524381,0.424681,-0.012006,0.051485,-0.084770,0.021458,0.770825,0.676316,-0.780691,0.586403,-0.072210,0.035622,-0.033518,-0.574768
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.143878,-0.081597,0.000000,0.000000,-0.149430,0.105397,0.000000,0.000000,0.000000,0.000000,0.172871,0.113851,-0.570147,0.431756,-0.066064,0.000000,0.000000,-0.444563
0.031154,0.045826,0.006787,-0.013651,-0.021510,-0.009672,-0.012094,-0.026493,0.016101,-0.016624,-0.026904,-0.075795,-0.027199,-0.001065,-0.029763,-0.096765,0.058092,-0.014487,-0.008340,-0.004801,-0.039151,0.057620,0.037980,-0.433280,0.331285,-0.061710,-0.000440,-0.010256,-0.345552
-0.004920,-0.002579,0.010636,0.001733,0.002439,0.021646,-0.019277,-0.017022,0.019708,-0.007515,0.000050,-0.042742,-0.022852,-0.011130,-0.043703,-0.074701,0.022959,-0.005197,0.003368,0.008482,0.017893,-0.034857,0.018299,-0.364840,0.281050,-0.066455,-0.000719,0.036750,-0.296046
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065750,0.000000,-0.224979,0.197963,0.000000,0.000000,0.000000,-0.196958
-0.035476,-0.037391,-0.002772,-0.008507,-0.008264,0.008657,-0.005645,-0.019027,0.002979,-0.017846,-0.003820,-0.014906,-0.019812,-0.018416,-0.016648,-0.055939,0.004096,-0.001113,0.009696,0.016582,0.019696,-0.043833,0.018263,-0.192538,0.175554,-0.026765,-0.002416,0.032329,-0.173691
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.127649,0.130733,0.000000,0.000000,0.000000,-0.127158
-0.043350,-0.044384,-0.009184,-0.033629,-0.032701,-0.015313,-0.012171,-0.021893,-0.008707,-0.038076,-0.000175,0.008179,0.016396,0.025589,-0.035468,-0.052032,0.016131,-0.015151,0.011719,0.021717,0.009245,0.019294,-0.001740,-0.094284,0.097907,-0.019428,0.015120,0.020935,-0.097652
-0.036894,-0.053661,-0.032942,-0.020876,-0.019756,-0.002628,-0.014977,-0.019888,0.000005,-0.051297,-0.010724,-0.016384,-0.044287,0.047341,-0.021687,-0.023840,0.004723,0.023711,0.006385,-0.049931,-0.007737,0.064158,0.040555,-0.077599,0.081495,-0.002092,0.023255,-0.019266,-0.120060
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.082637,0.082650,0.000000,0.000000,0.000000,0.000000
-0.017066,-0.016245,-0.051305,-0.016319,0.000325,0.014391,-0.019050,-0.016379,0.015248,-0.024457,0.016989,-0.031295,-0.059365,0.020993,-0.046170,-0.029323,0.026555,-0.018372,-0.015485,-0.033820,-0.012642,0.090080,0.029123,-0.097896,0.077840,0.008861,0.001016,-0.024297,-0.057141
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068214,0.000000,0.000000,0.000000,0.000000
-0.002809,-0.004492,-0.033990,-0.013892,-0.021974,-0.013913,0.011983,0.003765,0.013658,-0.025446,-0.015994,-0.001029,-0.033788,-0.010137,-0.035729,-0.004295,0.013914,0.022078,0.009531,0.004724,-0.063577,0.044942,-0.014693,-0.066501,0.022739,0.000025,-0.007697,-0.007369,-0.051206
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.049498,-0.041945,-0.006970,0.012231,0.013902,0.011897,0.001327,-0.010622,-0.038124,-0.006335,0.001947,0.015848,-0.025387,-0.032103,-0.055278,0.022200,0.014581,-0.027392,0.018374,0.022057,-0.044787,0.019598,-0.022519,-0.050235,0.015336,-0.005815,0.001367,0.020218,-0.060012
-0.074061,-0.052619,-0.002519,0.003215,0.000243,0.014204,-0.020667,-0.018957,-0.039911,0.042304,-0.014261,-0.016688,-0.052875,-0.048777,-0.052220,0.021532,0.001261,-0.001722,0.019928,0.002700,-0.065252,-0.010633,-0.027466,-0.048101,0.013144,-0.006431,-0.004242,0.017332,-0.057416
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.067729,-0.052106,-0.014833,0.005402,0.017770,0.022846,-0.015784,-0.007323,-0.036885,0.038140,0.007602,-0.031626,-0.062383,-0.070652,-0.043729,0.018412,0.026570,-0.024793,-0.035100,0.003138,-0.036541,-0.004244,-0.003999,-0.040011,0.008072,0.000051,-0.003442,0.000088,-0.046144
-0.050581,-0.024410,0.026292,0.037288,0.025204,0.045068,-0.002429,0.005787,-0.018689,0.041899,0.016528,-0.025281,-0.029306,-0.083109,-0.043225,0.011507,0.028025,-0.032547,-0.006942,-0.029129,0.050709,-0.042886,0.015765,-0.058150,-0.005783,0.007285,0.004620,-0.006757,-0.017514
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063137,-0.062935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.045492,-0.040928,0.020589,0.013737,0.016063,0.045542,-0.034679,0.010829,0.024699,0.042741,0.004567,-0.087337,-0.089062,-0.091165,-0.066213,-0.017609,-0.018213,-0.017902,0.015854,-0.030929,0.069365,-0.040829,0.018150,-0.060721,0.028531,-0.001103,0.002967,-0.031265,-0.017190
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063038,0.000000,0.000000,0.000000,0.000000,0.000000
-0.034125,-0.012105,0.037365,0.014716,0.016391,0.019472,-0.034174,-0.003853,0.015702,0.047796,-0.000853,-0.063862,-0.060411,-0.095957,-0.069351,-0.038777,0.052474,-0.014294,-0.019356,0.050223,0.024706,-0.047684,0.030637,-0.021011,0.030382,-0.032525,-0.000357,0.025763,-0.009982
-0.040152,-0.021189,0.038113,0.015402,0.015732,0.014094,-0.011498,-0.012048,0.009657,0.041611,0.013503,-0.018617,-0.033515,-0.076917,-0.030197,-0.043303,0.032000,-0.025033,-0.010769,0.053766,-0.019297,-0.066525,-0.017905,-0.014710,0.037228,-0.012864,-0.002163,0.018692,-0.000954
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.068084,-0.074125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.046908,-0.042721,-0.001540,0.001768,0.001770,0.018064,0.001585,0.008804,0.019794,0.015879,-0.014680,-0.015892,-0.020207,-0.068950,-0.072566,-0.020603,0.017852,-0.016906,0.009440,0.018045,-0.026101,-0.035983,-0.084251,0.054047,0.016400,-0.001986,-0.025373,0.027705,-0.001182
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.039523,-0.048172,-0.061413,0.030892,0.032296,-0.011116,0.027963,0.006963,0.012559,-0.021564,-0.006032,0.002798,0.003631,-0.061009,-0.062700,-0.048144,0.013453,-0.017216,0.005895,-0.011554,-0.012383,0.007975,-0.044912,0.046548,-0.021844,0.016620,-0.019749,0.001495,-0.004232
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.021645,-0.030360,-0.070537,-0.009205,-0.007306,-0.040782,0.051045,-0.008248,-0.005259,-0.151959,-0.017902,0.024947,-0.016079,-0.069316,-0.080983,-0.015104,0.043976,-0.022353,0.025805,-0.032985,0.017467,0.026846,0.021768,0.032365,-0.016634,0.031831,-0.008148,-0.046921,0.001632
0.111345,0.010801,-0.043795,-0.040278,-0.042708,-0.055895,0.082930,-0.008760,0.027446,-0.176506,-0.010238,0.022239,-0.024165,0.001205,-0.082107,0.013965,0.026445,-0.060980,0.023442,0.008371,0.009495,-0.036901,0.073540,0.016001,-0.007338,0.019639,0.012400,-0.073756,0.007832
0.194775,0.062586,0.000000,0.000000,0.000000,0.000000,0.121248,0.000000,0.000000,-0.282293,0.000000,0.000000,0.000000,0.099218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.301927,0.119076,-0.045234,-0.073624,-0.072997,-0.035950,0.170165,0.022881,0.116068,-0.426250,-0.064768,0.002950,-0.045773,0.305874,0.072135,0.075375,-0.013157,-0.088188,0.073196,-0.055373,-0.019318,-0.089550,0.060570,-0.047678,-0.005949,0.029561,0.010421,-0.074142,0.006061
0.355504,0.147323,-0.033328,0.005658,-0.040015,-0.072234,0.194626,-0.065817,0.110993,-0.498228,-0.048247,-0.016019,-0.024896,0.409202,0.169218,0.044460,-0.039982,-0.081531,0.035744,-0.033140,-0.028324,-0.040025,0.002098,-0.083198,0.012508,-0.022958,-0.046057,-0.028800,-0.044365
-0.060861,0.158992,-0.067657,0.000000,0.000000,0.000000,0.244774,0.000000,0.089322,0.240802,-0.201127,-0.099388,-0.092798,0.305654,0.423275,0.086102,0.000000,-0.140454,0.000000,0.000000,0.000000,0.065011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.323969,0.010186,-0.092546,0.071895,-0.071718,-0.088531,0.236120,-0.006752,0.087216,0.733357,0.049105,-0.116837,-0.092427,0.172479,0.355460,0.094405,-0.071080,-0.145831,-0.009742,0.006065,-0.024706,0.016963,-0.096071,-0.047219,-0.033726,-0.019754,-0.017823,0.005543,-0.049914
-0.850188,-0.287428,0.000000,0.080248,-0.168054,-0.128439,0.218815,0.000000,0.083001,1.718476,0.549576,-0.151741,-0.091685,-0.093880,0.219826,0.111008,0.000000,-0.156585,0.000000,0.096673,-0.132155,0.000000,-0.232279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-1.009848,-0.809632,-0.047441,0.210297,-0.118528,-0.025990,0.117135,0.039399,0.061353,1.933596,1.496088,-0.066172,0.084744,-0.210452,-0.105572,0.141448,-0.114114,-0.192900,-0.114816,0.573960,-0.594294,-0.602603,-0.845498,0.133009,-0.074652,0.115201,0.002792,-0.025124,-0.092191
-1.089682,-1.070743,0.026257,0.275321,-0.093765,0.016822,0.044198,0.009912,0.033684,2.041161,1.969359,-0.015589,0.172961,-0.268742,-0.268277,0.156666,-0.106517,-0.211058,-0.131959,0.812611,-0.825375,-0.864375,-1.152116,0.213765,-0.044230,0.191044,0.008603,-0.023572,-0.099184
-1.046097,-2.282464,0.310691,0.101883,-0.298127,-0.059645,0.074605,0.238425,-0.088525,1.450668,3.941315,0.463086,0.621399,-0.113678,-1.412789,0.402269,-0.516664,-0.136375,-0.252362,1.850033,-1.286691,-2.853715,-3.405839,0.990790,-0.160164,0.988887,0.153707,0.000000,-0.548854
-0.916130,-2.435183,0.363320,-0.055098,-0.442806,-0.232914,0.142381,0.220317,-0.072033,1.179140,4.206034,0.750241,0.712130,-0.048287,-1.527424,0.524724,-0.603297,-0.045949,-0.274399,2.087951,-1.287502,-3.715312,-4.370362,1.543872,-0.473651,1.765547,0.469128,0.022349,-1.066611
-0.656174,-2.740570,0.468569,-0.369062,-0.732155,-0.579451,0.277933,0.184097,0.000000,0.636056,4.735379,1.324538,0.893577,0.082494,-1.756664,0.769627,-0.776551,0.000000,-0.318469,2.563727,-1.289096,-5.438399,-6.299341,2.650011,-1.100620,3.318836,1.099963,0.093421,-2.102111
-0.570883,-2.038931,0.219708,-0.363718,-0.182894,-0.612058,0.143152,0.852910,0.195893,0.631329,2.861553,1.064647,0.244990,-0.198648,-1.442041,0.620110,-0.391768,0.101712,0.003646,2.277093,-1.335901,-5.640328,-7.152116,1.612268,-0.505654,2.625078,1.035936,0.227191,-1.717421
-0.528240,-1.688122,0.095279,-0.361048,0.091735,-0.628365,0.075766,1.213856,0.313358,0.628968,1.924658,0.956115,-0.079300,-0.339222,-1.284736,0.545353,-0.199379,0.085115,0.164703,2.133778,-1.359303,-5.741319,-7.578525,1.093408,-0.208175,2.278210,1.003929,0.294077,-1.525089
-0.943024,-1.509769,-0.225784,0.091720,0.112428,-0.171562,-0.375215,0.000000,0.972801,1.963549,2.619620,0.000000,-1.066566,-1.907527,-0.265439,0.588188,-0.092953,0.173647,-0.958187,1.066300,-0.614153,-4.483259,-7.313845,-2.329944,2.024570,-1.546600,-0.533912,0.913839,-1.152235
-1.530642,-1.769850,-0.112242,0.167753,-0.018923,-0.107651,-0.422388,-0.126296,1.133760,3.241202,3.386291,-0.373249,-1.298136,-2.307131,-0.500648,0.244804,0.217986,0.075969,-0.919905,1.151854,-0.541703,-3.321302,-5.942731,-4.417553,2.284706,-3.547347,-1.656462,0.176257,-1.261400
-2.705863,-2.290002,0.114840,0.319817,-0.281624,0.000000,-0.516736,-0.458504,1.455683,5.796473,4.919615,-1.183962,-1.761269,-3.106327,-0.971054,-0.441957,0.839856,-0.119386,-0.843338,1.322953,-0.396809,-0.997397,-3.200512,-8.592722,2.804967,-7.548800,-3.901538,-1.298896,-1.479727
-3.726076,-2.071577,0.140651,1.236231,0.205051,0.668579,-0.359838,-1.035327,1.056656,7.253126,4.185149,-0.726898,-0.964733,-2.640352,-1.149079,-1.306313,1.462325,-0.071681,-0.654540,2.418822,-1.474504,0.571451,0.911939,-8.965600,2.708192,-3.992413,-2.313999,-2.768881,-0.122398
-4.236217,-1.962370,0.153557,1.694453,0.448394,0.992792,-0.281388,-1.323750,0.857151,7.981509,3.817931,-0.498367,-0.566462,-2.407377,-1.238102,-1.738508,1.773574,-0.031885,-0.560142,2.966782,-2.013375,1.355886,2.968201,-9.152084,2.659823,-2.214217,-1.520231,-3.503903,0.556268
-3.581654,-0.455585,-0.324312,2.408886,0.839407,1.215008,0.000000,-1.516897,0.740092,8.461819,2.081704,1.560913,1.631329,-0.402538,-0.995716,-1.278590,1.047923,1.862742,-0.377879,2.132058,-2.453680,2.966833,6.928736,-6.422102,4.899785,0.106623,-1.277627,1.667974,1.030898
-3.303559,-0.323230,-0.322179,2.082268,0.734201,1.009083,-0.048903,-1.190888,0.629099,8.915154,2.001148,2.436211,2.720719,-0.723700,-0.942658,-0.787468,0.541369,1.525572,-0.378869,2.047329,-2.891181,2.974546,5.904958,-6.137196,6.795219,0.109232,-1.474005,2.921679,0.687262
-2.747391,0.000000,-0.317915,1.429039,0.523795,0.597239,-0.183883,-0.538866,0.407112,9.821886,1.840031,4.186829,4.899522,-1.366019,-0.836544,0.194778,-0.471740,0.851242,-0.380860,1.877888,-3.766194,2.990010,3.857458,-5.567450,10.586145,0.114449,-1.866776,5.429111,0.000000
-2.405034,0.191909,-0.262149,0.867659,0.504160,0.148100,-0.389848,-0.303994,-0.259164,9.912819,0.904614,5.991148,6.775725,-1.447836,-0.334695,0.851633,-1.119706,0.604313,-0.470238,4.927539,-6.204597,0.822553,-0.650615,-8.833981,12.529547,-0.907417,-1.484380,6.971964,-2.442014
